Title,Release_Date,Color_BW,Genre,Language,Country,Rating,Lead_Actor,Director_Name,Lead_Actor_FB_Likes,Cast_FB_Likes,Director_FB_Likes,Movie_FB Likes,IMDb_Score,Total_Reviews,Duration_mins,Gross_Revenue_in_thousands ,Budget_in_thousands
What's Eating Gilbert Grape,5/1/1993,Color,Drama,English,USA,PG-13,Johnny Depp,Lasse Hallström,40000,69746,529,14000,7.8,80,118,9170.214,11000
3 Ninjas Kick Back,11/3/1994,Color,Action,English,USA,PG,Victor Wong,Charles T. Kanganis,400,1151,18,444,4.3,5,93,11784,20000
A Low Down Dirty Shame,1/30/1994,Color,Action,English,USA,R,Jada Pinkett Smith,Keenen Ivory Wayans,851,3190,322,368,5.8,8,100,29392.418,10000
Ace Ventura: Pet Detective,10/1/1994,Color,Comedy,English,USA,PG-13,Sean Young,Tom Shadyac,759,2462,293,0,6.9,61,78,72217,12000
Baby's Day Out,7/15/1994,Color,Adventure,English,USA,PG,Joe Mantegna,Patrick Read Johnson,1000,2949,32,0,5.9,22,99,16671.505,50000
Beverly Hills Cop III,11/11/1994,Color,Action,English,USA,R,Louis Lombardi,John Landis,437,1093,644,669,5.5,36,104,42610,55000
Bullets Over Broadway,8/17/1994,Color,Comedy,English,USA,R,Jim Broadbent,Woody Allen,1000,4302,11000,979,7.5,67,98,13383.737,20000
Clear and Present Danger,5/27/1994,Color,Action,English,USA,PG-13,Harrison Ford,Phillip Noyce,11000,14178,176,0,6.9,42,141,122012.71,62000
Clerks,5/16/1994,Black and White,Comedy,English,USA,R,Jason Mewes,Kevin Smith,898,2103,0,0,7.8,136,102,3151.13,230
Crooklyn,2/17/1994,Color,Comedy,English,USA,PG-13,Alfre Woodard,Spike Lee,1000,3267,0,905,6.9,25,115,13640,14000
Disclosure,1/30/1994,Color,Drama,English,USA,R,Demi Moore,Barry Levinson,2000,3888,272,0,6,55,128,83000,55000
Don Juan DeMarco,4/13/1994,Color,Comedy,English,USA,PG-13,Johnny Depp,Jeremy Leven,40000,52122,19,0,6.8,44,97,22200,25000
Dumb & Dumber,9/21/1994,Color,Comedy,English,USA,PG-13,Lauren Holly,Peter Farrelly,879,2985,137,0,7.3,84,113,127175.354,16000
Ed Wood,2/2/1994,Black and White,Biography,English,USA,R,Johnny Depp,Tim Burton,40000,56585,13000,0,7.9,148,127,5887.457,18000
Exotica,1/2/1994,Color,Drama,English,Canada,R,Bruce Greenwood,Atom Egoyan,991,2990,460,619,7.2,53,103,5132.222,2000
Forrest Gump,11/13/1994,Black and White,Comedy,English,USA,PG-13,Tom Hanks,Robert Zemeckis,15000,15700,0,59000,8.8,149,142,329691.196,55000
Four Weddings and a Funeral,12/9/1994,Color,Comedy,English,UK,R,Kristin Scott Thomas,Mike Newell,1000,1862,179,0,7.1,84,117,52700.832,4500
Heavenly Creatures,6/17/1994,Color,Biography,English,New Zealand,R,Kate Winslet,Peter Jackson,14000,14574,0,0,7.4,93,108,3049.135,5000
Highlander: The Final Dimension,9/17/1994,Color,Action,English,Canada,PG-13,Christopher Lambert,Andrew Morahan,1000,2960,5,319,4.3,32,99,13829.734,26000
Hoop Dreams,1/29/1994,Color,Documentary,English,USA,PG-13,William Gates,Steve James,7,15,23,0,8.3,53,170,7830.611,700
Interview with the Vampire: The Vampire Chronicles,8/17/1994,Color,Drama,English,USA,R,Brad Pitt,Neil Jordan,11000,25697,277,11000,7.6,120,123,105264.608,60000
Legends of the Fall,11/1/1994,Color,Drama,English,USA,R,Anthony Hopkins,Edward Zwick,12000,26388,380,11000,7.5,57,133,66528.842,30000
Little Women,1/2/1994,Color,Drama,English,USA,PG,Christian Bale,Gillian Armstrong,23000,29370,44,0,7.3,27,115,50003.3,15000
Naked Gun 33 1/3: The Final Insult,9/21/1994,Color,Comedy,English,USA,PG-13,George Kennedy,Peter Segal,3000,4767,88,1000,6.4,43,83,51109.4,30000
New Nightmare,3/28/1994,Color,Fantasy,English,USA,R,Miko Hughes,Wes Craven,969,1775,0,0,6.4,109,107,18090.181,8000
On Deadly Ground,10/3/1994,Color,Action,English,USA,R,Mike Starr,Steven Seagal,854,1860,0,812,4.4,47,101,38590.5,50000
PCU,10/12/1994,Color,Comedy,English,USA,PG-13,Jon Favreau,Hart Bochner,4000,4908,157,0,6.5,15,79,4350.774,8000
Police Academy: Mission to Moscow,7/5/1994,Color,Comedy,English,USA,PG,Christopher Lee,Alan Metter,16000,17469,3,321,3.3,17,83,126.247,6200
Pulp Fiction,7/1/1994,Color,Crime,English,USA,R,Bruce Willis,Quentin Tarantino,13000,16557,16000,45000,8.9,215,178,107930,8000
Rapa Nui,3/24/1994,Color,Action,English,USA,R,Esai Morales,Kevin Reynolds,699,1592,58,399,6.4,9,107,305.07,20000
Renaissance Man,6/13/1994,Color,Comedy,English,USA,PG-13,Ed Begley Jr.,Penny Marshall,783,3126,545,680,6.1,12,128,24332.324,40000
Ri¢hie Ri¢h,11/28/1994,Color,Comedy,English,USA,PG,Macaulay Culkin,Donald Petrie,3000,4634,80,0,5.2,19,95,38087.756,40000
Serial Mom,2/16/1994,Color,Comedy,English,USA,R,Kathleen Turner,John Waters,899,3092,0,3000,6.7,52,95,7881.335,13000
Speed,7/28/1994,Color,Action,English,USA,R,Keanu Reeves,Jan de Bont,18000,20966,101,0,7.2,114,116,121248.145,25000
Star Trek: Generations,11/3/1994,Color,Action,English,USA,PG,LeVar Burton,David Carson,1000,6427,18,0,6.6,98,118,75668.868,35000
Street Fighter,1/25/1994,Color,Action,English,Japan,PG-13,Ming-Na Wen,Steven E. de Souza,2000,5443,133,0,3.8,63,102,33423.521,35000
The Client,7/22/1994,Color,Crime,English,USA,PG-13,Bradley Whitford,Joel Schumacher,821,4043,541,1000,6.7,39,119,92115.211,45000
The Crow,2/16/1994,Color,Action,English,USA,R,Michael Wincott,Alex Proyas,720,2630,295,15000,7.6,118,98,50693.162,23000
The Flintstones,8/7/1994,Color,Comedy,English,USA,PG,Jonathan Winters,Brian Levant,924,3244,32,0,4.8,35,91,130512.915,45000
The Hudsucker Proxy,6/19/1994,Black and White,Comedy,English,UK,PG,Jennifer Jason Leigh,Joel Coen,1000,2612,0,0,7.3,77,111,2869.369,30000
The Legend of Drunken Master,5/19/1994,Color,Action,Cantonese,Hong Kong,R,Andy Lau,Chia-Liang Liu,483,768,32,0,7.6,77,102,11546.543,2000
The Lion King,5/30/1994,Color,Adventure,English,USA,G,Matthew Broderick,Roger Allers,2000,6458,28,17000,8.5,186,73,422783.777,45000
The Mask,1/18/1994,Color,Action,English,USA,PG-13,Peter Greene,Chuck Russell,789,2085,55,0,6.9,57,114,119938.73,18000
The River Wild,4/5/1994,Color,Action,English,USA,PG-13,Meryl Streep,Curtis Hanson,11000,12161,161,0,6.3,42,111,46815.748,45000
The Santa Clause,1/16/1994,Color,Comedy,English,USA,PG,Judge Reinhold,John Pasquin,901,2790,11,0,6.4,64,97,144833.357,22000
The Shadow,9/25/1994,Color,Action,English,USA,PG-13,Jonathan Winters,Russell Mulcahy,924,2711,85,0,6,70,93,32055.248,25000
The Shawshank Redemption,4/3/1994,Color,Crime,English,USA,R,Morgan Freeman,Frank Darabont,11000,13495,0,108000,9.3,199,142,28341.469,25000
The Specialist,6/28/1994,Color,Action,English,Peru,R,Sylvester Stallone,Luis Llosa,13000,13331,49,0,5.4,38,110,57362.581,45000
There Goes My Baby,3/28/1994,Color,Comedy,English,USA,R,Ricky Schroder,Floyd Mutrux,665,2272,11,119,6.4,5,99,125.169,10500
Timecop,3/25/1994,Color,Action,English,Canada,R,Mia Sara,Peter Hyams,664,2010,0,0,5.8,62,99,44450,27000
True Lies,1/15/1994,Color,Action,English,USA,R,Jamie Lee Curtis,James Cameron,2000,4528,0,0,7.2,94,141,146282.411,115000
Wolf,1/19/1994,Color,Drama,English,USA,R,David Hyde Pierce,Mike Nichols,443,1439,0,0,6.2,59,125,65012,70000
Wyatt Earp,1/3/1994,Color,Adventure,English,USA,PG-13,Dennis Quaid,Lawrence Kasdan,2000,5708,759,0,6.6,40,212,25052,63000
Ace Ventura: When Nature Calls,10/9/1995,Color,Adventure,English,USA,PG-13,Bruce Spence,Steve Oedekerk,531,2203,176,0,6.3,59,90,108360,30000
Apollo 13,8/29/1995,Color,Adventure,English,USA,PG,Tom Hanks,Ron Howard,15000,17171,2000,5000,7.6,159,140,172071.312,62000
Assassins,2/21/1995,Black and White,Action,English,France,R,Muse Watson,Richard Donner,45000,58528,503,0,6.3,61,132,30306.268,50000
Babe,6/8/1995,Color,Comedy,English,Australia,G,Miriam Margolyes,Chris Noonan,405,1185,108,5000,6.8,79,91,66600,30000
Bad Boys,11/29/1995,Color,Action,English,USA,R,Will Smith,Michael Bay,10000,11013,0,0,6.8,63,119,65807.024,19000
Batman Forever,3/24/1995,Color,Action,English,USA,PG-13,Michael Gough,Joel Schumacher,920,2880,541,0,5.4,144,121,184031.112,100000
Before Sunrise,2/2/1995,Color,Drama,English,USA,R,Hanno Pöschl,Richard Linklater,15,36,0,22000,8.1,121,105,5400,2500
Braveheart,2/25/1995,Color,Biography,English,USA,R,Mhairi Calvey,Mel Gibson,906,1976,0,17000,8.4,132,178,75600,72000
Casino,7/27/1995,Color,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,24183,17000,11000,8.2,133,178,42438.3,52000
Casper,7/8/1995,Color,Comedy,English,USA,PG,Eric Idle,Brad Silberling,795,2638,52,0,6,26,100,100328.194,50000
Clueless,11/18/1995,Color,Comedy,English,USA,PG-13,Donald Faison,Amy Heckerling,927,1724,143,0,6.8,88,97,56631.572,12000
Congo,8/11/1995,Color,Action,English,USA,PG-13,Dylan Walsh,Frank Marshall,426,1761,155,0,5,55,109,81022.333,50000
Copycat,11/13/1995,Color,Crime,English,USA,R,William McNamara,Jon Amiel,10000,12338,36,0,6.6,57,123,32051.917,20000
Crimson Tide,1/11/1995,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000,30132,12000,0,7.3,82,123,91400,53000
Cutthroat Island,6/3/1995,Color,Action,English,USA,PG-13,Christopher Masterson,Renny Harlin,1000,3611,212,1000,5.6,61,124,11000,98000
Dead Man Walking,9/20/1995,Color,Crime,English,UK,R,Lois Smith,Tim Robbins,276,903,0,0,7.6,77,122,39025,11000
Desperado,1/19/1995,Color,Action,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000,33758,0,0,7.2,93,104,25625.11,7000
Die Hard with a Vengeance,1/24/1995,Color,Action,English,USA,R,Bruce Willis,John McTiernan,13000,14274,323,0,7.6,148,128,100012.5,90000
First Knight,1/9/1995,Color,Action,English,USA,PG-13,Julia Ormond,Jerry Zucker,919,1695,109,0,5.9,53,134,37600.435,55000
Four Rooms,8/18/1995,Color,Comedy,English,USA,R,Salma Hayek,Allison Anders,4000,7921,99,0,6.7,51,110,4301.331,4000
Friday,7/18/1995,Black and White,Comedy,English,USA,R,Nia Long,F. Gary Gray,826,3455,473,8000,7.3,20,97,27900,3500
Get Shorty,2/8/1995,Color,Comedy,English,USA,R,Delroy Lindo,Barry Sonnenfeld,848,3439,188,0,6.9,96,105,72077,30250
GoldenEye,6/28/1995,Color,Action,English,UK,PG-13,Izabella Scorupco,Martin Campbell,394,1784,258,0,7.2,137,130,106635.996,58000
Hackers,11/26/1995,Color,Comedy,English,USA,PG-13,Angelina Jolie Pitt,Iain Softley,11000,13821,34,12000,6.2,79,107,7564,20000
Halloween: The Curse of Michael Myers,5/14/1995,Color,Horror,English,USA,R,Donald Pleasence,Joe Chappelle,742,1227,13,0,4.9,123,93,15126.948,5000
Home for the Holidays,7/30/1995,Color,Comedy,English,USA,PG-13,Robert Downey Jr.,Jodie Foster,21000,25263,0,0,6.6,45,103,17518.22,20000
Jade,10/24/1995,Color,Crime,English,USA,R,Michael Biehn,William Friedkin,2000,5461,607,422,5.1,50,107,9795.017,50000
Jefferson in Paris,11/13/1995,Color,Biography,English,France,PG-13,Seth Gilliam,James Ivory,423,446,133,127,5.7,20,139,2474,14000
Kids,12/10/1995,Color,Drama,English,USA,,Rosario Dawson,Larry Clark,3000,3310,184,0,7,71,91,7417.21,1500
Kiss of Death,10/19/1995,Color,Action,English,USA,R,Nicolas Cage,Barbet Schroeder,12000,14008,58,555,5.9,40,101,14942.422,40000
Leaving Las Vegas,12/26/1995,Color,Drama,English,USA,R,Nicolas Cage,Mike Figgis,12000,14823,81,0,7.6,123,111,31968.347,3600
Mallrats,4/1/1995,Color,Comedy,English,USA,R,Ethan Suplee,Kevin Smith,1000,3254,0,0,7.2,93,123,2122.561,6000
Money Train,8/19/1995,Color,Action,English,USA,R,Vincent Pastore,Joseph Ruben,584,1132,29,617,5.6,40,105,35324.232,68000
Mortal Kombat,5/28/1995,Color,Action,English,USA,PG-13,Christopher Lambert,Paul W.S. Anderson,1000,3816,545,0,5.8,72,101,70360.285,18000
Mr. Holland's Opus,9/4/1995,Color,Drama,English,USA,PG,Alicia Witt,Stephen Herek,975,2223,65,0,7.3,42,143,82528.097,6500
Nixon,7/2/1995,Black and White,Biography,English,USA,R,Anthony Hopkins,Oliver Stone,12000,21130,0,915,7.1,83,212,13560.96,50000
Outbreak,12/22/1995,Color,Action,English,USA,R,Kevin Spacey,Wolfgang Petersen,18000,30383,249,0,6.6,64,127,67823.573,50000
Pocahontas,11/3/1995,Color,Adventure,English,USA,G,Christian Bale,Mike Gabriel,23000,26754,12,0,6.6,92,84,141600,55000
Richard III,6/4/1995,Color,Drama,English,UK,R,Robert Downey Jr.,Richard Loncraine,21000,23962,12,0,7.5,56,104,2600,6000
Rob Roy,7/11/1995,Color,Adventure,English,USA,R,Liam Neeson,Michael Caton-Jones,14000,16125,105,0,6.9,44,139,31600,28000
Rumble in the Bronx,11/10/1995,Color,Action,Cantonese,Hong Kong,R,Françoise Yip,Stanley Tong,186,407,7,0,6.7,62,89,32333.86,7500
Se7en,11/21/1995,Color,Crime,English,USA,R,Morgan Freeman,David Fincher,11000,22678,21000,39000,8.6,216,127,100125.34,33000
Sense and Sensibility,3/27/1995,Color,Drama,English,USA,PG,Alan Rickman,Ang Lee,25000,41059,0,0,7.7,69,136,42700,16500
Showgirls,12/22/1995,Color,Drama,English,France,NC-17,Bobbie Phillips,Paul Verhoeven,16000,18913,719,0,4.6,181,131,20302.961,45000
Species,7/10/1995,Color,Action,English,USA,R,Natasha Henstridge,Roger Donaldson,900,1715,79,0,5.8,97,108,60054.449,35000
Tales from the Crypt: Demon Knight,7/8/1995,Color,Action,English,USA,R,CCH Pounder,Ernest R. Dickerson,1000,3931,226,0,6.7,66,92,21088.568,13000
Tales from the Hood,11/23/1995,Color,Comedy,English,USA,R,Corbin Bernsen,Rusty Cundieff,1000,3221,38,985,6.1,25,98,11797.927,6000
Tank Girl,7/14/1995,Color,Action,English,USA,R,Naomi Watts,Rachel Talalay,6000,9662,54,0,5.2,60,104,4064.333,25000
The American President,12/30/1995,Color,Comedy,English,USA,PG-13,Shawna Waldron,Rob Reiner,524,2668,0,0,6.8,75,114,65000,62000
The Bridges of Madison County,12/25/1995,Color,Drama,English,USA,PG-13,Clint Eastwood,Clint Eastwood,16000,27237,16000,0,7.5,69,135,70960.517,35000
The Brothers McMullen,7/14/1995,Color,Comedy,English,USA,R,Shari Albert,Edward Burns,138,388,0,265,6.6,36,98,10246.6,25
The Incredibly True Adventure of Two Girls in Love,11/30/1995,Color,Comedy,English,USA,R,Nicole Ari Parker,Maria Maggenti,360,656,4,423,6.5,23,94,1977.544,250
The Indian in the Cupboard,12/18/1995,Color,Drama,English,USA,PG,Steve Coogan,Frank Oz,1000,2965,0,0,5.9,25,96,35617.599,45000
The Net,7/16/1995,Color,Action,English,USA,PG-13,Ken Howard,Irwin Winkler,649,1725,34,0,5.8,53,114,50728,22000
The Perez Family,1/10/1995,Color,Comedy,English,USA,R,Anjelica Huston,Mira Nair,1000,3072,300,174,6.2,15,113,2832.826,11000
The Prophecy,1/23/1995,Color,Action,English,USA,R,Viggo Mortensen,Gregory Widen,10000,13433,10,0,6.6,56,98,16115.878,8000
The Quick and the Dead,4/11/1995,Black and White,Action,English,Japan,R,Leonardo DiCaprio,Sam Raimi,29000,29743,0,0,6.4,63,107,18636.537,32000
The Scarlet Letter,3/17/1995,Color,Drama,English,USA,R,Gary Oldman,Roland Joffé,10000,15820,596,943,5.1,34,135,10400,50000
The Usual Suspects,6/18/1995,Color,Crime,English,USA,R,Kevin Spacey,Bryan Singer,18000,20821,0,28000,8.6,162,106,23272.306,6000
Things to Do in Denver When You're Dead,5/24/1995,Color,Crime,English,USA,R,Steve Buscemi,Gary Fleder,12000,14889,39,0,6.8,52,115,529.766,7000
To Die For,7/3/1995,Color,Comedy,English,USA,R,Kurtwood Smith,Gus Van Sant,1000,3598,835,1000,6.8,59,106,21200,20000
Toy Story,5/9/1995,Color,Adventure,English,USA,G,Tom Hanks,John Lasseter,15000,19046,487,0,8.3,166,74,191796.233,30000
Under Siege 2: Dark Territory,2/15/1995,Color,Action,English,USA,R,Peter Greene,Geoff Murphy,789,2318,14,1000,5.4,47,92,50024.083,60000
Vampire in Brooklyn,8/7/1995,Color,Comedy,English,USA,R,John Witherspoon,Wes Craven,723,2348,0,1000,4.5,34,100,19900,20000
Virtuosity,9/9/1995,Color,Action,English,USA,R,Denzel Washington,Brett Leonard,18000,20772,32,0,5.5,44,106,24048,30000
Waterworld,10/7/1995,Color,Action,English,USA,PG-13,Jeanne Tripplehorn,Kevin Reynolds,711,1004,58,0,6.1,91,176,88246.22,175000
Welcome to the Dollhouse,1/10/1995,Color,Comedy,English,USA,R,Heather Matarazzo,Todd Solondz,529,1502,377,0,7.5,74,88,4771,800
A Thin Line Between Love and Hate,6/24/1996,Color,Comedy,English,USA,R,Faizon Love,Martin Lawrence,585,3023,0,559,5.6,11,108,34746.109,8000
A Time to Kill,11/28/1996,Color,Crime,English,USA,R,Kevin Spacey,Joel Schumacher,18000,31349,541,0,7.4,71,149,108706.165,40000
Albino Alligator,12/29/1996,Color,Crime,English,USA,R,Viggo Mortensen,Kevin Spacey,10000,13718,18000,225,6.1,37,97,326.308,5000
Basquiat,11/21/1996,Color,Biography,English,USA,R,Gary Oldman,Julian Schnabel,10000,11459,232,0,6.9,42,108,2961.991,3300
Beavis and Butt-Head Do America,4/14/1996,Color,Adventure,English,USA,PG-13,Bruce Willis,Mike Judge,13000,17035,406,0,6.8,63,81,63071.133,12000
Blood and Wine,11/30/1996,Color,Crime,English,USA,R,Harold Perrineau,Bob Rafelson,1000,2228,30,145,6.1,42,101,1075.288,22000
Bogus,6/6/1996,Color,Comedy,English,USA,PG,Haley Joel Osment,Norman Jewison,3000,3864,278,350,5.3,15,110,4357,30000
Bottle Rocket,12/28/1996,Color,Comedy,English,USA,R,Andrew Wilson,Wes Anderson,387,648,0,0,7.1,83,91,1040.879,7000
Bound,11/14/1996,Color,Crime,English,USA,R,Christopher Meloni,Lana Wachowski,3000,3668,0,2000,7.4,120,109,3798.532,4500
Broken Arrow,3/14/1996,Color,Action,English,USA,R,Delroy Lindo,John Woo,848,2913,610,0,6,72,108,70450,50000
Chain Reaction,2/23/1996,Color,Action,English,USA,PG-13,Keanu Reeves,Andrew Davis,18000,31014,99,1000,5.6,47,107,20550.712,50000
City Hall,3/3/1996,Color,Drama,English,USA,R,Al Pacino,Harold Becker,14000,17877,17,309,6.2,50,111,20300,40000
Courage Under Fire,6/4/1996,Color,Action,English,USA,R,Denzel Washington,Edward Zwick,18000,33233,380,975,6.6,65,116,58918.501,46000
Daylight,4/15/1996,Color,Action,English,USA,PG-13,Sylvester Stallone,Rob Cohen,13000,25126,357,0,5.8,61,114,32885.565,80000
DragonHeart,1/1/1996,Color,Action,English,USA,PG-13,Dennis Quaid,Rob Cohen,2000,2710,357,0,6.4,60,103,51317.35,57000
Eraser,5/17/1996,Color,Action,English,USA,R,Vanessa Williams,Chuck Russell,1000,3454,55,0,6.1,81,115,101228.12,100000
Escape from L.A.,2/13/1996,Color,Action,English,USA,R,Steve Buscemi,John Carpenter,12000,15935,0,0,5.7,104,101,25407.25,50000
Everyone Says I Love You,9/10/1996,Color,Comedy,English,USA,R,Natasha Lyonne,Woody Allen,1000,1614,11000,0,6.8,69,101,9714.482,20000
Evita,6/17/1996,Color,Biography,English,USA,PG,Andrea Corr,Alan Parker,57,164,317,0,6.3,76,135,49994.804,55000
Executive Decision,3/29/1996,Color,Action,English,USA,R,Oliver Platt,Stuart Baird,1000,2916,53,0,6.4,60,133,68750,55000
Extreme Measures,3/4/1996,Color,Crime,English,USA,R,J.K. Simmons,Michael Apted,24000,24547,150,352,6.1,47,118,17305.211,38000
Eye for an Eye,4/16/1996,Color,Crime,English,USA,R,Joe Mantegna,John Schlesinger,1000,3174,154,613,6.1,31,101,53146,20000
Faithful,2/19/1996,Color,Comedy,English,USA,R,Chazz Palminteri,Paul Mazursky,979,1679,150,69,5.9,21,91,2104,13000
Fled,3/9/1996,Color,Action,English,USA,R,Salma Hayek,Kevin Hooks,4000,6152,114,204,5.3,36,105,17100,25000
Flipper,2/9/1996,Color,Adventure,English,USA,PG,Paul Hogan,Alan Shapiro,442,616,0,504,5.2,23,95,20047.715,25530
Flirting with Disaster,9/12/1996,Color,Comedy,English,USA,R,Lily Tomlin,David O. Russell,718,2240,737,824,6.8,50,92,14891,7000
From Dusk Till Dawn,11/2/1996,Color,Crime,English,USA,R,Quentin Tarantino,Robert Rodriguez,16000,23296,0,12000,7.3,165,108,25753.84,19000
Get on the Bus,8/13/1996,Color,Drama,English,USA,R,Bernie Mac,Spike Lee,1000,5963,0,352,6.8,28,120,5731.103,2400
Ghosts of Mississippi,6/1/1996,Color,Drama,English,USA,PG-13,Alexa PenaVega,Rob Reiner,2000,3968,0,591,6.7,31,130,13052.741,36000
Girl 6,6/14/1996,Color,Comedy,English,USA,R,Michael Imperioli,Spike Lee,873,4497,0,251,5,30,108,4903,12000
Hamlet,12/29/1996,Color,Drama,English,UK,PG-13,Julie Christie,Kenneth Branagh,597,1645,0,0,7.8,85,150,4414.535,18000
Happy Gilmore,8/26/1996,Color,Comedy,English,USA,PG-13,Adam Sandler,Dennis Dugan,11000,13162,221,0,7,77,92,38624,12000
Harriet the Spy,3/18/1996,Color,Comedy,English,USA,PG,Gregory Smith,Bronwen Hughes,694,2486,15,833,5.9,25,100,26539.321,13000
Independence Day,5/25/1996,Color,Action,English,USA,PG-13,Will Smith,Roland Emmerich,10000,16785,776,16000,6.9,185,154,306124.059,75000
Jerry Maguire,4/11/1996,Color,Comedy,English,USA,R,Tom Cruise,Cameron Crowe,10000,12182,488,0,7.3,109,139,153620.822,50000
Jingle All the Way,5/18/1996,Color,Comedy,English,USA,PG,Jim Belushi,Brian Levant,854,4530,32,0,5.4,81,94,60573.641,60000
Kama Sutra: A Tale of Love,4/25/1996,Color,Crime,English,USA,R,Indira Varma,Mira Nair,729,1292,300,0,6,33,109,4109.095,3000
Kansas City,6/13/1996,Color,Crime,English,France,R,Steve Buscemi,Robert Altman,12000,14579,500,228,6.3,31,116,1292.527,19000
Kingpin,3/10/1996,Color,Comedy,English,USA,PG-13,Bill Murray,Bobby Farrelly,13000,16937,101,3000,6.9,62,117,24944.213,27000
Lone Star,3/25/1996,Color,Drama,English,USA,R,Matthew McConaughey,John Sayles,11000,11400,407,0,7.6,68,135,13269.963,5000
Love and Other Catastrophes,2/3/1996,Color,Comedy,English,Australia,R,Radha Mitchell,Emma-Kate Croghan,991,1661,0,46,6.4,21,76,212.285,250
Mars Attacks!,8/13/1996,Color,Action,English,USA,PG-13,Natalie Portman,Tim Burton,20000,22590,13000,0,6.3,132,106,37754.208,70000
Marvin's Room,9/9/1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Jerry Zaks,29000,63194,4,1000,6.7,45,98,12782.508,23000
Mary Reilly,1/6/1996,Color,Drama,English,USA,R,Julia Roberts,Stephen Frears,8000,8349,350,616,5.8,46,108,5600,47000
Maximum Risk,5/10/1996,Color,Action,English,USA,R,Natasha Henstridge,Ringo Lam,900,1634,17,503,5.4,50,101,14095.303,25000
Michael Collins,5/23/1996,Black and White,Biography,English,UK,R,Alan Rickman,Neil Jordan,25000,48482,277,0,7.1,44,133,11030.963,28000
Mission: Impossible,10/10/1996,Color,Action,English,USA,PG-13,Tom Cruise,Brian De Palma,10000,12760,0,0,7.1,154,110,180965.237,80000
Mrs. Winterbourne,9/20/1996,Color,Comedy,English,USA,PG-13,Brendan Fraser,Richard Benjamin,3000,5023,121,491,6.2,20,105,10070,25000
Multiplicity,9/18/1996,Color,Comedy,English,USA,PG-13,John de Lancie,Harold Ramis,905,2348,11000,0,6,43,117,20101.861,45000
My Fellow Americans,9/15/1996,Color,Adventure,English,USA,PG-13,Wilford Brimley,Peter Segal,957,4629,88,758,6.5,27,101,22294.341,21500
Phenomenon,11/16/1996,Color,Drama,English,USA,PG,Robert Duvall,Jon Turteltaub,3000,5975,226,0,6.4,53,123,104632.573,32000
Ransom,3/8/1996,Color,Crime,English,USA,R,Lili Taylor,Ron Howard,960,3667,2000,1000,6.6,79,139,136448.821,80000
Romeo + Juliet,10/26/1996,Color,Drama,English,USA,PG-13,Leonardo DiCaprio,Baz Luhrmann,29000,33791,1000,10000,6.8,106,120,46338.728,14500
Scream,8/27/1996,Color,Horror,English,USA,R,David Arquette,Wes Craven,611,1212,0,11000,7.2,242,103,103001.286,15000
Set It Off,6/18/1996,Color,Action,English,USA,R,Vivica A. Fox,F. Gary Gray,890,3661,473,0,6.8,29,123,36049.108,9000
Sgt. Bilko,10/8/1996,Color,Comedy,English,USA,PG,Austin Pendleton,Jonathan Lynn,592,2176,36,478,5.7,23,93,30400,39000
She's the One,12/19/1996,Color,Comedy,English,USA,R,John Mahoney,Edward Burns,385,995,0,453,6.1,43,96,9449.219,3500
Shine,8/7/1996,Color,Biography,English,Australia,PG-13,Noah Taylor,Scott Hicks,509,888,96,0,7.7,71,105,35811.509,5500
Sleepers,9/20/1996,Black and White,Crime,English,USA,R,Robert De Niro,Barry Levinson,22000,37076,272,0,7.5,73,147,53300.852,44000
Sling Blade,9/22/1996,Color,Drama,English,USA,R,Robert Duvall,Billy Bob Thornton,3000,3967,0,0,8,104,148,24475.416,890
Space Jam,8/7/1996,Color,Adventure,English,USA,PG,Bill Murray,Joe Pytka,13000,15001,30,0,6.3,46,88,90443.603,80000
Spy Hard,10/3/1996,Color,Action,English,USA,PG-13,Hulk Hogan,Rick Friedberg,844,2653,8,588,5.3,27,81,26906.039,18000
Star Trek: First Contact,2/1/1996,Color,Action,English,USA,PG-13,LeVar Burton,Jonathan Frakes,1000,6315,906,3000,7.6,143,111,92001.027,45000
Striptease,5/7/1996,Color,Comedy,English,USA,R,Demi Moore,Andrew Bergman,2000,3016,31,877,4.3,51,117,32800,40000
Swingers,5/3/1996,Color,Comedy,English,USA,R,Jon Favreau,Doug Liman,4000,4230,218,0,7.4,77,96,4505.922,200
That Thing You Do!,10/3/1996,Color,Comedy,English,USA,PG,Tom Hanks,Tom Hanks,15000,28713,15000,0,6.9,75,149,25809.813,26000
The Adventures of Pinocchio,4/16/1996,Color,Adventure,Italian,UK,G,Martin Landau,Steve Barron,940,2465,48,246,5.3,19,90,15091.542,25000
The Cable Guy,9/28/1996,Color,Comedy,English,USA,PG-13,Matthew Broderick,Ben Stiller,2000,3718,0,0,6,72,96,60154.431,47000
The Craft,3/6/1996,Color,Drama,English,USA,R,Christine Taylor,Andrew Fleming,838,1812,26,6000,6.2,93,101,24881,15000
The English Patient,2/1/1996,Color,Drama,English,USA,R,Colin Firth,Anthony Minghella,14000,15912,333,0,7.4,116,162,78651.43,27000
The Fan,2/28/1996,Color,Action,English,USA,R,Robert De Niro,Tony Scott,22000,24618,12000,0,5.8,50,116,18573.791,55000
